District,State,Confirmed,Recovered,Deaths,Active,Delta_Confirmed,Delta_Recovered,Delta_Deaths,Last_Updated_Time
Sri Muktsar Sahib,Punjab,1,0,0,1,0,0,,
Tarn Taran,Punjab,0,0,0,0,0,0,,
Ajmer,Punjab,5,0,0,5,0,0,,
Alwar,Punjab,6,0,0,6,0,0,,
Banswara,Punjab,24,0,0,24,0,0,,
Baran,Rajasthan,0,0,0,0,0,0,,
Barmer,Rajasthan,1,0,0,1,0,0,,
Bharatpur,Rajasthan,9,0,0,9,0,0,,
Bhilwara,Rajasthan,28,0,0,28,0,0,,
Bikaner,Rajasthan,20,0,1,19,0,0,,
Bundi,Rajasthan,0,0,0,0,0,0,,
Chittaurgarh,Rajasthan,0,0,0,0,0,0,,
Churu,Rajasthan,11,0,0,11,0,0,,
Dausa,Rajasthan,7,0,0,7,0,0,,
Dhaulpur,Rajasthan,1,0,0,1,0,0,,
Dungarpur,Rajasthan,5,0,0,5,0,0,,
Ganganagar,Rajasthan,0,0,0,0,0,0,,
Hanumangarh,Rajasthan,0,0,0,0,0,0,,
Jaipur,Rajasthan,221,0,0,221,0,0,,
Jaisalmer,Rajasthan,27,0,0,27,4,0,,
Jalore,Rajasthan,0,0,0,0,0,0,,
Jhalawar,Rajasthan,12,0,0,12,0,0,,
Jhunjhunu,Rajasthan,31,0,0,31,0,0,,
Jodhpur,Rajasthan,43,0,0,43,0,0,,
Karauli,Rajasthan,2,0,0,2,0,0,,
Kota,Rajasthan,19,0,1,18,0,0,,
Nagaur,Rajasthan,1,0,0,1,0,0,,
Pali,Rajasthan,2,0,0,2,0,0,,
Pratapgarh,Rajasthan,8,0,0,8,0,0,,
Rajsamand,Rajasthan,0,0,0,0,0,0,,
Sawai Madhopur,Rajasthan,0,0,0,0,0,0,,
Sikar,Rajasthan,1,0,0,1,0,0,,
Sirohi,Rajasthan,0,0,0,0,0,0,,
Tonk,Rajasthan,27,0,0,27,0,0,,
Udaipur,Rajasthan,4,0,0,4,0,0,,
East District,Rajasthan,0,0,0,0,0,0,,
North District,Rajasthan,0,0,0,0,0,0,,
South District,Rajasthan,0,0,0,0,0,0,,
West District,Sikkim,0,0,0,0,0,0,,
Ariyalur,Sikkim,1,0,0,1,0,0,,
Chennai,Sikkim,175,0,4,171,0,0,,
Coimbatore,Sikkim,90,5,0,85,0,0,,
Cuddalore,Tamil Nadu,14,0,0,14,0,0,,
Dharmapuri,Tamil Nadu,0,0,0,0,0,0,,
Dindigul,Tamil Nadu,54,0,0,54,0,0,,
Erode,Tamil Nadu,55,0,0,55,0,0,,
Kancheepuram,Tamil Nadu,7,0,0,7,0,0,,
Kanniyakumari,Tamil Nadu,15,0,0,15,0,0,,
Karur,Tamil Nadu,22,0,0,22,0,0,,
Krishnagiri,Tamil Nadu,0,0,0,0,0,0,,
Madurai,Tamil Nadu,25,0,0,25,0,0,,
Nagapattinam,Tamil Nadu,12,0,0,12,0,0,,
Namakkal,Tamil Nadu,41,0,0,41,0,0,,
Perambalur,Tamil Nadu,1,0,0,1,0,0,,
Pudukkottai,Tamil Nadu,0,0,0,0,0,0,,
Ramanathapuram,Tamil Nadu,2,0,0,2,0,0,,
Salem,Tamil Nadu,14,0,0,14,0,0,,
Sivaganga,Tamil Nadu,6,0,0,6,0,0,,
Thanjavur,Tamil Nadu,11,0,0,11,0,0,,
The Nilgiris,Tamil Nadu,7,0,0,7,0,0,,
Theni,Tamil Nadu,41,0,1,40,0,0,,
Thiruvallur,Tamil Nadu,13,0,0,13,0,0,,
Thiruvarur,Tamil Nadu,13,0,0,13,0,0,,
Thoothukkudi,Tamil Nadu,24,0,1,23,0,0,,
Tiruchirappalli,Tamil Nadu,37,0,0,37,0,0,,
Tirunelveli,Tamil Nadu,58,0,0,58,0,0,,
Tiruppur,Tamil Nadu,26,0,0,26,0,0,,
Tiruvannamalai,Tamil Nadu,6,0,0,6,0,0,,
Vellore,Tamil Nadu,12,0,1,11,0,0,,
Viluppuram,Tamil Nadu,27,0,1,26,0,0,,
Virudhunagar,Tamil Nadu,11,0,0,11,0,0,,
Adilabad,Tamil Nadu,2,0,0,2,0,0,,
Bhadradri Kothagudem,Tamil Nadu,3,0,0,3,0,0,,
Hyderabad,Tamil Nadu,104,0,4,100,0,0,,
Jagitial,Tamil Nadu,1,0,0,1,0,0,,
Jangoan,Tamil Nadu,0,0,0,0,0,0,,
Jayashankar,Tamil Nadu,0,0,0,0,0,0,,
Jogulamba Gadwal,Tamil Nadu,17,0,0,17,0,0,,
Kamareddy,Tamil Nadu,0,0,0,0,0,0,,
Karimnagar,Telangana,4,0,0,4,0,0,,
Khammam,Telangana,0,0,0,0,0,0,,
Kumuram Bheem Asifabad,Telangana,0,0,0,0,0,0,,
Mahabubabad,Telangana,0,0,0,0,0,0,,
Mahabubnagar,Telangana,6,0,0,6,0,0,,
Mancherial,Telangana,0,0,0,0,0,0,,
Medak,Telangana,0,0,0,0,0,0,,
Medchal Malkajgiri,Telangana,4,0,0,4,0,0,,
Mulugu,Telangana,0,0,0,0,0,0,,
Nagarkurnool,Telangana,0,0,0,0,0,0,,
Nalgonda,Telangana,0,0,0,0,0,0,,
Narayanpet,Telangana,0,0,0,0,0,0,,
Nirmal,Telangana,4,0,0,4,0,0,,
Nizamabad,Telangana,18,0,0,18,0,0,,
Peddapalli,Telangana,2,0,0,2,0,0,,
Rajanna Sircilla,Telangana,0,0,0,0,0,0,,
Ranga Reddy,Telangana,3,0,0,3,0,0,,
Sangareddy,Telangana,1,0,0,1,0,0,,
Siddipet,Telangana,0,0,0,0,0,0,,
Suryapet,Telangana,3,0,0,3,0,0,,
Vikarabad,Telangana,2,0,0,2,0,0,,
Wanaparthy,Telangana,0,0,0,0,0,0,,
Warangal Rural,Telangana,0,0,0,0,0,0,,
Warangal Urban,Telangana,2,0,0,2,0,0,,
Yadadri Bhuvanagiri,Telangana,0,0,0,0,0,0,,
Dhalai,Telangana,0,0,0,0,0,0,,
Gomati,Telangana,1,0,0,1,0,0,,
Khowai,Telangana,0,0,0,0,0,0,,
North Tripura,Telangana,1,0,0,1,0,0,,
Sipahijala,Telangana,0,0,0,0,0,0,,
South Tripura,Telangana,0,0,0,0,0,0,,
Unokoti,Telangana,0,0,0,0,0,0,,
West Tripura,Telangana,0,0,0,0,0,0,,
Agra,Tripura,88,0,1,87,0,0,,
Aligarh,Tripura,0,0,0,0,0,0,,
Ambedkar Nagar,Tripura,0,0,0,0,0,0,,
Amethi,Tripura,0,0,0,0,0,0,,
Amroha,Tripura,7,0,0,7,0,0,,
Auraiya,Tripura,3,0,0,3,0,0,,
Azamgarh,Tripura,4,0,0,4,0,0,,
Baghpat,Tripura,5,0,0,5,0,0,,
Bahraich,Uttar Pradesh,0,0,0,0,0,0,,
Ballia,Uttar Pradesh,0,0,0,0,0,0,,
Balrampur,Uttar Pradesh,0,0,0,0,0,0,,
Banda,Uttar Pradesh,2,0,0,2,0,0,,
Bara Banki,Uttar Pradesh,1,0,0,1,0,0,,
Bareilly,Uttar Pradesh,6,0,0,6,0,0,,
Basti,Uttar Pradesh,9,0,0,9,0,0,,
Bhadohi,Uttar Pradesh,0,0,0,0,0,0,,
Bijnor,Uttar Pradesh,1,0,0,1,0,0,,
Budaun,Uttar Pradesh,1,0,0,1,0,0,,
Bulandshahr,Uttar Pradesh,8,0,0,8,0,0,,
Chandauli,Uttar Pradesh,0,0,0,0,0,0,,
Chitrakoot,Uttar Pradesh,0,0,0,0,0,0,,
Deoria,Uttar Pradesh,0,0,0,0,0,0,,
Etah,Uttar Pradesh,0,0,0,0,0,0,,
Etawah,Uttar Pradesh,0,0,0,0,0,0,,
Faizabad,Uttar Pradesh,0,0,0,0,0,0,,
Farrukhabad,Uttar Pradesh,0,0,0,0,0,0,,
Fatehpur,Uttar Pradesh,0,0,0,0,0,0,,
Firozabad,Uttar Pradesh,11,0,0,11,0,0,,
Gautam Buddha Nagar,Uttar Pradesh,62,0,0,62,0,0,,
Ghaziabad,Uttar Pradesh,25,0,0,25,0,0,,
Ghazipur,Uttar Pradesh,5,0,0,5,0,0,,
Gonda,Uttar Pradesh,0,0,0,0,0,0,,
Gorakhpur,Uttar Pradesh,0,0,1,-1,0,0,,
Hamirpur,Uttar Pradesh,0,0,0,0,0,0,,
Hapur,Uttar Pradesh,6,0,0,6,0,0,,
Hardoi,Uttar Pradesh,2,0,0,2,0,0,,
Hathras,Uttar Pradesh,0,0,0,0,0,0,,
Jalaun,Uttar Pradesh,0,0,0,0,0,0,,
Jaunpur,Uttar Pradesh,4,0,0,4,0,0,,
Jhansi,Uttar Pradesh,0,0,0,0,0,0,,
Kannauj,Uttar Pradesh,0,0,0,0,0,0,,
Kanpur Dehat,Uttar Pradesh,0,0,0,0,0,0,,
Kanpur Nagar,Uttar Pradesh,9,0,0,9,0,0,,
Kasganj,Uttar Pradesh,0,0,0,0,0,0,,
Kaushambi,Uttar Pradesh,2,0,0,2,0,0,,
Kheri,Uttar Pradesh,4,0,0,4,0,0,,
Kushinagar,Uttar Pradesh,0,0,0,0,0,0,,
Lalitpur,Uttar Pradesh,0,0,0,0,0,0,,
Lucknow,Uttar Pradesh,29,1,0,28,0,0,,
Mahoba,Uttar Pradesh,0,0,0,0,0,0,,
Mahrajganj,Uttar Pradesh,6,0,0,6,0,0,,
Mainpuri,Uttar Pradesh,0,0,0,0,0,0,,
Mathura,Uttar Pradesh,2,0,0,2,0,0,,
Mau,Uttar Pradesh,0,0,0,0,0,0,,
Meerut,Uttar Pradesh,44,0,1,43,0,0,,
Mirzapur,Uttar Pradesh,2,0,0,2,0,0,,
Moradabad,Uttar Pradesh,1,0,0,1,0,0,,
Muzaffarnagar,Uttar Pradesh,6,0,0,6,0,0,,
Pilibhit,Uttar Pradesh,2,0,0,2,0,0,,
Pratapgarh,Uttar Pradesh,8,0,0,8,0,0,,
Prayagraj,Uttar Pradesh,1,0,0,1,0,0,,
Rae Bareli,Uttar Pradesh,2,0,0,2,0,0,,
Rampur,Uttar Pradesh,6,0,0,6,0,0,,
Saharanpur,Uttar Pradesh,20,0,0,20,0,0,,
Sambhal,Uttar Pradesh,0,0,0,0,0,0,,
Sant Kabir Nagar,Uttar Pradesh,0,0,0,0,0,0,,
Shahjahanpur,Uttar Pradesh,1,0,0,1,0,0,,
Shamli,Uttar Pradesh,17,0,0,17,0,0,,
Shrawasti,Uttar Pradesh,0,0,0,0,0,0,,
Siddharthnagar,Uttar Pradesh,0,0,0,0,0,0,,
Sitapur,Uttar Pradesh,10,0,0,10,0,0,,
Sonbhadra,Uttar Pradesh,0,0,0,0,0,0,,
Sultanpur,Uttar Pradesh,0,0,0,0,0,0,,
Unnao,Uttar Pradesh,0,0,0,0,0,0,,
Varanasi,Uttar Pradesh,9,0,1,8,0,0,,
Almora,Uttar Pradesh,1,0,0,1,0,0,,
Bageshwar,Uttar Pradesh,0,0,0,0,0,0,,
Chamoli,Uttar Pradesh,0,0,0,0,0,0,,
Champawat,Uttar Pradesh,0,0,0,0,0,0,,
Dehradun,Uttar Pradesh,14,0,0,14,0,0,,
Haridwar,Uttar Pradesh,3,0,0,3,0,0,,
Nainital,Uttar Pradesh,6,0,0,6,0,0,,
Pauri Garhwal,Uttar Pradesh,2,0,0,2,0,0,,
Pithoragarh,Uttarakhand,0,0,0,0,0,0,,
Rudraprayag,Uttarakhand,0,0,0,0,0,0,,
Tehri Garhwal,Uttarakhand,0,0,0,0,0,0,,
Udham Singh Nagar,Uttarakhand,3,0,0,3,0,0,,
Uttarkashi,Uttarakhand,0,0,0,0,0,0,,
Alipurduar,Uttarakhand,0,0,0,0,0,0,,
Bankura,Uttarakhand,0,0,0,0,0,0,,
Birbhum,Uttarakhand,0,0,0,0,0,0,,
Cooch Behar,Uttarakhand,0,0,0,0,0,0,,
Dakshin Dinajpur,Uttarakhand,0,0,0,0,0,0,,
Darjeeling,Uttarakhand,0,0,0,0,0,0,,
Hooghly,Uttarakhand,1,0,0,1,0,0,,
Howrah,Uttarakhand,1,0,1,0,0,0,,
Jalpaiguri,West Bengal,0,0,0,0,0,0,,
Jhargram,West Bengal,0,0,0,0,0,0,,
Kalimpong,West Bengal,1,0,1,0,0,0,,
Kolkata,West Bengal,11,0,0,11,0,0,,
Maldah,West Bengal,0,0,0,0,0,0,,
Medinipur West,West Bengal,0,0,0,0,0,0,,
Murshidabad,West Bengal,0,0,0,0,0,0,,
Nadia,West Bengal,5,0,0,5,0,0,,
North 24 Parganas,West Bengal,4,0,1,3,0,0,,
Paschim Bardhaman,West Bengal,0,0,0,0,0,0,,
Purba Bardhaman,West Bengal,0,0,0,0,0,0,,
Medinipur East,West Bengal,3,0,0,3,0,0,,
Purulia,West Bengal,0,0,0,0,0,0,,
South 24 Parganas,West Bengal,1,0,0,1,0,0,,
Uttar Dinajpur,West Bengal,0,0,0,0,0,0,,
