State,District,Confirmed,Recovered,Deaths,Active
Uttar Pradesh,Ghazipur,5,5,0,0
Uttar Pradesh,Gonda,1,1,0,0
Uttar Pradesh,Gorakhpur,0,0,0,0
Uttar Pradesh,Hamirpur,0,0,0,0
Uttar Pradesh,Hapur,16,16,0,0
Uttar Pradesh,Hardoi,2,2,0,0
Uttar Pradesh,Hathras,4,4,0,0
Uttar Pradesh,Jalaun,0,0,0,0
Uttar Pradesh,Jaunpur,5,5,0,0
Uttar Pradesh,Jhansi,0,0,0,0
Uttar Pradesh,Kannauj,5,5,0,0
Uttar Pradesh,Kanpur Dehat,0,0,0,0
Uttar Pradesh,Kanpur Nagar,30,29,0,1
Uttar Pradesh,Kasganj,3,3,0,0
Uttar Pradesh,Kaushambi,2,2,0,0
Uttar Pradesh,Kheri,4,3,1,0
Uttar Pradesh,Kushinagar,0,0,0,0
Uttar Pradesh,Lalitpur,0,0,0,0
Uttar Pradesh,Lucknow,162,160,1,1
Uttar Pradesh,Mahoba,0,0,0,0
Uttar Pradesh,Mahrajganj,6,6,0,0
Uttar Pradesh,Mainpuri,4,4,0,0
Uttar Pradesh,Mathura,4,4,0,0
Uttar Pradesh,Mau,1,1,0,0
Uttar Pradesh,Meerut,74,63,9,2
Uttar Pradesh,Mirzapur,4,4,0,0
Uttar Pradesh,Moradabad,57,55,0,2
Uttar Pradesh,Muzaffarnagar,7,7,0,0
Uttar Pradesh,Pilibhit,2,1,1,0
Uttar Pradesh,Pratapgarh,8,8,0,0
Uttar Pradesh,Prayagraj,1,1,0,0
Uttar Pradesh,Rae Bareli,2,2,0,0
Uttar Pradesh,Rampur,14,14,0,0
Uttar Pradesh,Saharanpur,72,72,0,0
Uttar Pradesh,Sambhal,7,7,0,0
Uttar Pradesh,Sant Kabir Nagar,1,1,0,0
Uttar Pradesh,Shahjahanpur,1,1,0,0
Uttar Pradesh,Shamli,23,22,1,0
Uttar Pradesh,Shrawasti,0,0,0,0
Uttar Pradesh,Siddharthnagar,0,0,0,0
Uttar Pradesh,Sitapur,17,17,0,0
Uttar Pradesh,Sonbhadra,0,0,0,0
Uttar Pradesh,Sultanpur,0,0,0,0
Uttar Pradesh,Unnao,1,1,0,0
Uttar Pradesh,Varanasi,14,13,0,1
Uttarakhand,Almora,1,1,0,0
Uttarakhand,Bageshwar,0,0,0,0
Uttarakhand,Chamoli,0,0,0,0
Uttarakhand,Champawat,0,0,0,0
Uttarakhand,Dehradun,22,22,0,0
Uttarakhand,Haridwar,7,7,0,0
Uttarakhand,Nainital,9,9,0,0
Uttarakhand,Pauri Garhwal,1,1,0,0
Uttarakhand,Pithoragarh,0,0,0,0
Uttarakhand,Rudraprayag,0,0,0,0
Uttarakhand,Tehri Garhwal,0,0,0,0
Uttarakhand,Udham Singh Nagar,4,4,0,0
Uttarakhand,Uttarkashi,0,0,0,0
West Bengal,Alipurduar,0,0,0,0
West Bengal,Bankura,0,0,0,0
West Bengal,Birbhum,0,0,0,0
West Bengal,Cooch Behar,0,0,0,0
West Bengal,Dakshin Dinajpur,0,0,0,0
West Bengal,Darjeeling,0,0,0,0
West Bengal,Hooghly,1,1,0,0
West Bengal,Howrah,1,0,0,1
West Bengal,Jalpaiguri,0,0,0,0
West Bengal,Jhargram,0,0,0,0
West Bengal,Kalimpong,1,0,0,1
West Bengal,Kolkata,11,11,0,0
West Bengal,Maldah,0,0,0,0
West Bengal,Medinipur West,0,0,0,0
West Bengal,Murshidabad,0,0,0,0
West Bengal,Nadia,5,5,0,0
West Bengal,North 24 Parganas,4,3,0,1
West Bengal,Paschim Bardhaman,0,0,0,0
West Bengal,Purba Bardhaman,0,0,0,0
West Bengal,Medinipur East,3,3,0,0
West Bengal,Purulia,0,0,0,0
West Bengal,South 24 Parganas,1,1,0,0
West Bengal,Uttar Dinajpur,0,0,0,0
Mizoram,,0,0,0,0
Mizoram,,0,0,0,0
Mizoram,,0,0,0,0
Tamil Nadu,Tenkasi,19,19,0,0
Tamil Nadu,Chengalpattu,50,50,0,0
Tamil Nadu,Ranipet,38,38,0,0
Tamil Nadu,Kallakurichi,3,3,0,0
Tamil Nadu,Tirupathur,17,17,0,0
